,state,Month,Maize,Rice,Sorghum,Beans,Millet
138,Edo,Jun,1.4729719173382168,1.489494699398905,1.462510248277227,1.482773406171964,1.4843179548457788
139,Edo,Mar,0.5377976153699799,0.5496850496948895,0.5695789918881986,0.5801053076776723,0.5500682344464066
140,Edo,May,0.5577995780792724,0.6037192560143729,0.5789227333620202,0.5957648386251782,0.5695015341187964
141,Edo,Nov,0.5888257190336317,0.6028635417000281,0.6218255884341802,0.6370887463289171,0.6009571971542205
142,Edo,Oct,0.5493635466967418,0.5872184061536354,0.561125333297238,0.581125333297238,0.5607811712178146
143,Edo,Sep,1.5023176933132887,1.525837340987141,1.4988528898654632,1.520431837233884,1.5131142248720706
144,Ekiti,Apr,0.5025685151050434,0.5203680724328834,0.5387223612588896,0.5487223612588896,0.5105761779402925
145,Ekiti,Aug,0.5351835174604105,0.5740314289262426,0.5481409420392274,0.5689304157234378,0.5437043886037862
146,Ekiti,Dec,0.4518239866353143,0.4772760439088135,0.4871622392146535,0.5005832918462325,0.45851787653247106
147,Ekiti,Feb,0.42573297821941125,0.4553558600766624,0.4642291255355926,0.47449228343032945,0.43539319197218396
148,Ekiti,Jan,0.40923165801492306,0.4385976409647537,0.4461338390257628,0.45823910218365754,0.41436777416737314
149,Ekiti,Jul,0.5313556466045504,0.5692836674731939,0.5440009384943244,0.5637377805995876,0.5401628658019693
150,Ekiti,Jun,0.5675608509071748,0.6076949920916126,0.5931655263675379,0.609744473735959,0.5774186851479493
151,Ekiti,Mar,0.43730930722389166,0.4661516353050524,0.48037317035566646,0.48668895982935073,0.443828766792353
152,Ekiti,May,0.5549688686805059,0.569602339011335,0.5901040391127901,0.6027356180601585,0.5632185157867773
153,Ekiti,Nov,0.5200882527129156,0.5406223028595312,0.5559378021448078,0.5690956968816501,0.5299188637231999
154,Ekiti,Oct,0.5849206912589361,0.6238631124485978,0.6093336467245232,0.6272283835666284,0.5940374486697043
155,Ekiti,Sep,0.5424984924042258,0.5792163525353013,0.5541362095258138,0.5741362095258138,0.552191978994264
156,Enugu,Apr,0.5305255569347697,0.5363657130958007,0.5425616023833788,0.5599300234360104,0.5374866377978469
157,Enugu,Aug,0.5012591404032136,0.5288732747095347,0.5007948593531941,0.5263211751426677,0.5075335908972649
158,Enugu,Dec,0.44819001102955724,0.4706082430451225,0.4804944383509625,0.49707338571938353,0.44923558473393316
159,Enugu,Feb,0.43188256112679524,0.45794530193663874,0.46681856739556893,0.4807659358166215,0.437092280828348
160,Enugu,Jan,0.4214888887181374,0.4466820253646101,0.4553121876602819,0.47136481923922924,0.41961250234991804
161,Enugu,Jul,0.47289671211746387,0.4921601035935853,0.4635144475229752,0.4887776054177121,0.4802006040311562
162,Enugu,Jun,0.49111485090811907,0.5146609007475199,0.48731179488095433,0.5104696896177965,0.4993745806923497
163,Enugu,Mar,0.5090525541131775,0.5225374819310447,0.5404055644305341,0.55408977495685,0.5137591481845629
164,Enugu,May,0.5452099778218402,0.5868935427374418,0.5614082277891903,0.581934543578664,0.5528445815725963
165,Enugu,Nov,0.5735753153851517,0.5847112552485253,0.6027819237173968,0.6214661342437126,0.5801784611806751
166,Enugu,Oct,0.5276547174713092,0.5527043891571165,0.5273406257904943,0.5502353626325995,0.5350281798629205
167,Enugu,Sep,1.4886932514222575,1.5084826394036868,1.4810930163432448,1.5055667005537712,1.496020333495256
168,FederalCapitalTerritory,Apr,0.5318717432138134,0.5475288535489999,0.5649917641097255,0.5781496588465678,0.5392119327681589
169,FederalCapitalTerritory,Aug,0.524820985502494,0.5492344038832387,0.5216421948534148,0.5469053527481517,0.5315501647725082
170,FederalCapitalTerritory,Dec,0.41642999887352067,0.441054919385369,0.4472945672423336,0.4651893040844388,0.4155850704605342
171,FederalCapitalTerritory,Feb,0.37188418648880217,0.4026849210849048,0.4066961232786677,0.4206434916997204,0.37460348473441624
172,FederalCapitalTerritory,Jan,0.4018935115418074,0.42813830434687256,0.4338107114895676,0.4506528167527255,0.4007602185391859
173,FederalCapitalTerritory,Jul,0.5667322132611894,0.6053342013173094,0.5782687158078786,0.6022160842289314,0.5740108984799834
174,FederalCapitalTerritory,Jun,0.5500920018390615,0.5846250899664226,0.5593423609875532,0.5798686767770268,0.5583013182334958
175,FederalCapitalTerritory,Mar,0.4322751381108918,0.4612364283646403,0.4719329675480082,0.4814066517585345,0.4377439826359977
176,FederalCapitalTerritory,May,0.5909166870119619,0.6041568448578987,0.6166604508881537,0.6329762403618379,0.5981641159290823
177,FederalCapitalTerritory,Nov,0.46124337249199443,0.48365949434120015,0.4928974145450179,0.5100026777029126,0.4644446227440614
178,FederalCapitalTerritory,Oct,0.597193576609153,0.5918700506672205,0.6124933023503047,0.6335459339292522,0.6023861557581748
179,FederalCapitalTerritory,Sep,0.47598057962098594,0.4792972392395341,0.45219123653622695,0.47771755232570057,0.48321288452116745
180,Gombe,Apr,0.35822488655619733,0.39164899090450844,0.400360187587933,0.4077286086405646,0.35890244251506
181,Gombe,Aug,1.499983985898482,1.5151275323697724,1.489966354972532,1.5154926707620056,1.5030017314116904
182,Gombe,Dec,0.4109571839379416,0.42827547851527153,0.43313754178043873,0.4597164891488598,0.39702191473044013
